seat,provider,model,model_slug,arm,rules_variant,source,priced_as,item_runs,input_tokens,raw_input_tokens,output_tokens,cache_read_tokens,price_in_per_mtok,price_out_per_mtok,priced,usd
agent,anthropic,claude-haiku-4-5-20251001,haiku45,baseline,standard,failed_credit,claude-haiku-4-5-20251001,419,1108231,1108231,59755,0,1.0,5.0,True,1.407
agent,anthropic,claude-haiku-4-5-20251001,haiku45,baseline,standard,runs,claude-haiku-4-5-20251001,773,25098795,25098795,1267773,0,1.0,5.0,True,31.4377
agent,ollama,mistral-nemo:12b,nemo12b,baseline,standard,pilot_v1,*,25,211591,211591,12905,0,0.0,0.0,True,0.0
agent,ollama,mistral-nemo:12b,nemo12b-sal,baseline,standard,dropped_nemo,*,96,655204,655204,38355,0,0.0,0.0,True,0.0
agent,ollama,qwen3:14b,qwen3-14b,baseline,standard,pilot_v0,*,25,156872,156872,4707,0,0.0,0.0,True,0.0
agent,ollama,qwen3:14b,qwen3-14b,baseline,standard,pilot_v1,*,25,230569,230569,7677,0,0.0,0.0,True,0.0
agent,ollama,qwen3:14b,qwen3-14b-sal,baseline,standard,runs,*,474,4457127,4457127,126853,0,0.0,0.0,True,0.0
agent,openai,gpt-5.6-luna,luna,baseline,standard,pilot_v0,gpt-5.6-luna,79,146060,576841,17316,430781,0.2,1.2,True,0.0586
agent,openai,gpt-5.6-luna,luna,baseline,standard,pilot_v1,gpt-5.6-luna,25,49172,187371,5879,138199,0.2,1.2,True,0.0197
agent,openai,gpt-5.6-luna,luna-sal,baseline,standard,runs,gpt-5.6-luna,1228,2198600,9009002,274347,6810402,0.2,1.2,True,0.9051
agent,openai,gpt-5.6-luna,luna-sal,peer_neutral,standard,runs,gpt-5.6-luna,192,378464,1759521,47833,1381057,0.2,1.2,True,0.1607
agent,openai,gpt-5.6-luna,luna-sal,peer_tip,standard,runs,gpt-5.6-luna,192,351589,1717404,46993,1365815,0.2,1.2,True,0.154
agent,openai,gpt-5.6-luna,luna-sal,peer_tip_read,standard,runs,gpt-5.6-luna,192,371963,1690488,47775,1318525,0.2,1.2,True,0.1581
agent,openai,gpt-5.6-luna,luna-sal-cont,continuous,standard,failed_rate,gpt-5.6-luna,172,104690,4567890,29830,4463200,0.2,1.2,True,0.146
agent,openai,gpt-5.6-luna,luna-sal-cont,continuous,standard,runs,gpt-5.6-luna,588,336071,11571029,102684,11234958,0.2,1.2,True,0.4151
agent,openai,gpt-5.6-luna,luna-sal-decl,baseline,declare,runs,gpt-5.6-luna,280,526738,2016713,61010,1489975,0.2,1.2,True,0.2084
agent,openai,gpt-5.6-sol,sol,baseline,standard,pilot_v1,gpt-5.6-sol,25,64227,270669,7738,206442,4.0,20.0,True,0.4942
agent,openai,gpt-5.6-sol,sol-sal,baseline,standard,runs,gpt-5.6-sol,948,2064544,8322358,267268,6257814,4.0,20.0,True,16.1067
agent,openrouter,deepseek/deepseek-v4.1-flash,dsv41flash,baseline,standard,pilot_v1,deepseek/deepseek-v4.1-flash,25,148414,250686,12048,102272,0.15,0.6,True,0.031
agent,openrouter,deepseek/deepseek-v4.1-flash,dsv41flash-sal,baseline,standard,runs,deepseek/deepseek-v4.1-flash,948,4953720,13357176,1194949,8403456,0.15,0.6,True,1.5861
agent,openrouter,z-ai/glm-5.3-flash,glm53flash,baseline,standard,pilot_v1,z-ai/glm-5.3-flash,25,172363,456651,33309,284288,0.15,0.5,True,0.0468
agent,openrouter,z-ai/glm-5.3-flash,glm53flash-sal,baseline,standard,runs,z-ai/glm-5.3-flash,948,4980989,13616381,1246532,8635392,0.15,0.5,True,1.4999
monitor,openrouter,deepseek/deepseek-v4-pro-0813,-,-,-,pilot_v1,deepseek/deepseek-v4-pro-0813,75,193015,193015,24104,120576,0.578,1.734,True,0.1603
monitor,openrouter,deepseek/deepseek-v4-pro-0813,-,-,-,runs,deepseek/deepseek-v4-pro-0813,5812,12161617,12161617,2680227,12151808,0.578,1.734,True,12.3793
monitor,openrouter,z-ai/glm-5.3,-,-,-,pilot_v1,z-ai/glm-5.3,25,61729,61729,3691,27648,1.092,3.432,True,0.0831
monitor,openrouter,z-ai/glm-5.3,-,-,-,runs,z-ai/glm-5.3,948,1941888,1941888,56505,2048128,1.092,3.432,True,2.5381
